parameter_id,revenue_month,stock_id,company_name,announcement_date,entry_date,entry_price,exit_date,exit_price,exit_status,allocation_amount,return_pct,pnl_amount,mom_pct,yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,breakout_days,volume_ratio_20d
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,2890,永豐金,2026-02-10,2026-02-11,30.65,2026-02-26,33.2,final,200000.0,0.083197,16639.48,0.9251999999999999,0.5514,3799235.0,194411.0,60,2.0946953417345657
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6509,聚和,2026-02-10,2026-02-11,35.3,2026-02-26,39.35,final,200000.0,0.114731,22946.18,0.6516,0.1572,86000.0,0.0,60,10.408991570402748
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6716,應廣,2026-02-10,2026-02-11,72.9,2026-02-26,96.0,final,200000.0,0.316872,63374.49,0.5106,2.3035,143000.0,0.0,60,4.729265148259562
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,6291,沛亨,2026-02-10,2026-02-11,260.0,2026-02-26,277.0,final,200000.0,0.065385,13076.92,0.0947,0.7753,8000.0,0.0,60,3.723255162104083
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-01,7751,竑騰,2026-02-10,2026-02-11,938.0,2026-02-26,1215.0,as_of_latest,200000.0,0.295309,59061.83,0.042300000000000004,0.8056,-127000.0,100000.0,60,3.960248447204969
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,1423,利華,2026-03-10,2026-03-11,39.0,2026-03-31,39.65,final,200000.0,0.016667,3333.33,1.9709,0.5716,6000.0,0.0,60,8.682926718967462
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,8076,伍豐,2026-03-10,2026-03-11,24.45,2026-03-31,23.5,final,200000.0,-0.038855,-7770.96,0.6262,1.1174,194004.0,0.0,60,7.069809610154125
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,6640,均華,2026-03-10,2026-03-11,927.0,2026-03-31,1340.0,final,200000.0,0.445523,89104.64,0.3005,0.5199,262000.0,2000.0,60,2.817778616589601
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,2752,豆府,2026-03-10,2026-03-11,215.0,2026-03-31,206.5,final,200000.0,-0.039535,-7906.98,0.047400000000000005,0.2426,2000.0,0.0,60,5.43778801843318
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-02,5511,德昌,2026-03-10,2026-03-11,69.5,2026-03-31,73.9,final,200000.0,0.063309,12661.87,0.0269,0.43090000000000006,82000.0,0.0,60,4.155108972544579
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-03,1570,力肯,2026-04-10,2026-04-13,32.0,2026-04-30,37.65,final,200000.0,0.176562,35312.5,1.3228,0.39990000000000003,31000.0,0.0,60,5.854819516065054
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-03,6494,九齊,2026-04-10,2026-04-13,52.8,2026-04-30,53.2,final,200000.0,0.007576,1515.15,1.063,0.3937,133000.0,0.0,60,4.280408542246982
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-03,3556,禾瑞亞,2026-04-10,2026-04-13,44.75,2026-04-30,50.4,final,200000.0,0.126257,25251.4,0.9231999999999999,0.2441,134004.0,0.0,60,5.231506120276743
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-03,5464,霖宏,2026-04-10,2026-04-13,28.9,2026-04-30,33.0,final,200000.0,0.141869,28373.7,0.813,0.5154,1000.0,0.0,60,2.8069011280690113
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-03,8383,千附,2026-04-10,2026-04-13,50.8,2026-04-30,62.9,final,200000.0,0.238189,47637.8,0.5738,0.5816,81000.0,0.0,60,4.190645955351838
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-04,8227,巨有科技,2026-05-10,2026-05-11,221.5,2026-05-29,212.0,as_of_latest,200000.0,-0.042889,-8577.88,0.7973,2.0701,291073.0,0.0,60,2.6773500097713505
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-04,3095,及成,2026-05-10,2026-05-11,49.25,2026-05-29,43.2,final,200000.0,-0.122843,-24568.53,0.40049999999999997,0.4567,2000.0,0.0,60,2.6118067978533093
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-04,4907,富宇,2026-05-10,2026-05-11,38.5,2026-05-29,35.6,final,200000.0,-0.075325,-15064.94,0.2752,4.0271,12000.0,0.0,60,4.920634920634921
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-04,6151,晉倫,2026-05-10,2026-05-11,38.9,2026-05-29,43.05,final,200000.0,0.106684,21336.76,0.2534,0.2834,160000.0,0.0,60,4.655065806907517
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-04,6173,信昌電,2026-05-10,2026-05-11,120.0,2026-05-29,237.0,final,200000.0,0.975,195000.0,0.1304,0.2036,2763930.0,0.0,60,2.1941281662403513
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-05,3285,微端,2026-06-10,2026-06-11,37.65,2026-06-18,51.2,as_of_latest,200000.0,0.359894,71978.75,0.9354,2.1675,18000.0,0.0,60,3.1702544031311155
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-05,5345,馥鴻,2026-06-10,2026-06-11,32.5,2026-06-18,32.35,as_of_latest,200000.0,-0.004615,-923.08,0.4434,15.056600000000001,89000.0,0.0,60,9.88169798190675
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-05,5511,德昌,2026-06-10,2026-06-11,75.0,2026-06-18,76.8,as_of_latest,200000.0,0.024,4800.0,0.2846,0.13720000000000002,48430.0,0.0,60,3.046171171171171
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-05,5410,國眾,2026-06-10,2026-06-11,42.4,2026-06-18,44.75,as_of_latest,200000.0,0.055425,11084.91,0.2792,1.9922,139312.0,0.0,60,3.8411297440423655
mom0_yoy0_foreignany_trust0k_high60_vol2.0_top5_month_end,2026-05,6259,百徽,2026-06-10,2026-06-11,27.05,2026-06-18,35.85,as_of_latest,200000.0,0.325323,65064.7,0.08259999999999999,0.4052,20000.0,0.0,60,5.247603833865814
